median_income,house_age,avg_rooms,avg_bedrooms,population,latitude,longitude,median_house_value
8.3252,41,6.984,1.024,322,37.88,-122.23,4.526
8.3014,21,6.238,0.972,2401,37.86,-122.22,3.585
7.2574,52,8.288,1.073,496,37.85,-122.24,3.521
5.6431,52,5.817,1.073,558,37.85,-122.25,3.413
3.8462,52,6.282,1.081,565,37.85,-122.25,3.422
4.0368,52,4.761,1.103,413,37.85,-122.25,2.697
3.6591,52,4.931,0.951,1094,37.84,-122.25,2.992
3.1200,42,4.120,1.010,1206,34.05,-118.25,1.875
2.0800,36,3.850,1.120,2100,34.07,-118.28,1.265
6.1500,18,5.940,0.980,880,37.33,-121.89,3.902
