date,open,high,low,close,volume
2026-01-02,100.00,101.20,99.60,100.80,1200000
2026-01-03,100.80,102.10,100.20,101.70,1185000
2026-01-04,101.70,102.00,100.40,100.90,1352000
2026-01-05,100.90,103.40,100.80,103.10,1420000
2026-01-06,103.10,104.00,102.50,103.70,1310000
2026-01-07,103.70,103.90,101.80,102.20,1550000
2026-01-08,102.20,102.80,100.90,101.40,1495000
2026-01-09,101.40,104.20,101.30,103.90,1602000
2026-01-10,103.90,105.00,103.20,104.60,1711000
2026-01-11,104.60,105.10,102.90,103.30,1660000
